"who_retweet","who_post","weight"
"str_1001107633930108928","str_108027128",1
"str_1001107633930108928","str_159633273",1
"str_1001107633930108928","str_16100125",1
"str_1001107633930108928","str_80698005",2
"str_100115449","str_2266517269",1
"str_100115449","str_2541597056",1
"str_100115449","str_52596035",2
"str_100115449","str_66562891",2
"str_1002378368","str_118198589",2
"str_1002378368","str_1364892560",1
"str_1002378368","str_139593662",1
"str_1002378368","str_17091701",1
"str_1002378368","str_2512863602",1
"str_1002378368","str_2906574983",2
"str_1002378368","str_475287482",1
"str_1002378368","str_70591921",2
"str_1003277442252001283","str_66344815",1
"str_1003444540227883009","str_3240070053",10
"str_1003712331493335040","str_15793651",1
"str_1003895346395795456","str_159633273",1
"str_1003895346395795456","str_2917685440",3
"str_1003895346395795456","str_3195934863",3
"str_1003895346395795456","str_37727891",2
"str_1004815933670678529","str_15323106",1
"str_1004815933670678529","str_21762059",6
"str_1004815933670678529","str_3188152800",4
"str_1004815933670678529","str_42523890",1
"str_1004815933670678529","str_861436278755033089",1
"str_1004891731","str_26078159",1
"str_1004891731","str_33801008",2
"str_1004891731","str_42658483",3
"str_1006109238","str_105336659",2
"str_1006619357278015488","str_1413518334",3
"str_1006619357278015488","str_14752226",21
"str_1006619357278015488","str_16150792",12
"str_1006619357278015488","str_343809170",1
"str_1006619357278015488","str_3739021332",2
"str_1006619357278015488","str_377382236",1
"str_1006619357278015488","str_734102611905765376",9
"str_1006619357278015488","str_745818046963453952",12
"str_1006619357278015488","str_890347671684296705",1
"str_1006619357278015488","str_973601189144219649",10
"str_1006619357278015488","str_983759571645812736",35
"str_1006629273459970048","str_17168851",1
"str_1006629273459970048","str_779109706543472640",1
"str_100674437","str_1860751962",1
"str_1006860298156945408","str_132174002",3
"str_1006860298156945408","str_37816357",3
"str_1006860298156945408","str_857410425444597760",3
"str_1007272206999662592","str_1077365580",5
"str_1007272206999662592","str_1320331676",4
"str_1007272206999662592","str_17327933",1
"str_1007272206999662592","str_19237004",7
"str_1007272206999662592","str_61871092",15
"str_1007272206999662592","str_755872938084147200",14
"str_1007272206999662592","str_826929187701288960",2
"str_1007272206999662592","str_949709847276212225",1
"str_1007272206999662592","str_990085837",5
